text,true_label,pred_label,confidence
My comp wont let me download the yahoo messenger? 'could not load DLL library. Th specified module could not be found' Thats what it keeps telling me,computers & internet,computers & internet,0.886750281
would you hang out with a freshman who is 13 years old? I skipped 2 grades and have a tough time making friends because I'm a victom of the stereotype that anyone who skips grades is a stuck up know-it-all. If your intrested my email is writer_symone@yahoo.com. My name is Kaylyn,education & reference,society & culture,0.617585301
What causes UTI's? I know this is a dumb question and I know you are going to laugh? but a few months ago my cat had one. Then a week or so I had one. Now my cat and my duaghter both have one!\nWhat is it? Something in the air?,health,health,0.749787807
Who thinks the Pacers are going to make it to the playoffs? I live in Naptown and i LOVE the Pacers. But lately they have been doing pretty bad. i just hope we win at least the first round. And even more than the Pacers making the playoffs i would like that the pistons didn't make it. Even though they already did. If they win it all i'm gonna be sooo pissed.,sports,sports,0.755467772
Best advice to get into a regular exercise routine? ,health,health,0.64191395
what is infimum of a set? find the infimum of the set\n\n{x : x>5} U {x: 6>x>4},science & mathematics,science & mathematics,0.662364423
How to make a footnote? Im writing a paper.  What is a term paper by the way?,education & reference,education & reference,0.708710134
"Why do celebrities even bother getting married? Most of them are doing it for publicity purposes, but I love how they try to convince people that they are in love.  Douchebags like Pam Anderson (getting divorced AGAIN) and my favorite white trash hack Ms. Spears have these revolving door marriages and you just know Tom and Katie will soon follow.  At least I give credit to Whitney Houston and Bobby Brown for lasting as long as they did.  Ahhhh...to be famous.",entertainment & music,family & relationships,0.77301085
"So, my best friend(shes a girl) just told me she touches herself, is that a health hazard for her??? ",health,health,0.744621515
How do you turn off SafeSearch? The one where so I can see ALL Yahoo pictures and themes.,business & finance,computers & internet,0.59900099
what do you JUST need to know ????:D? ,entertainment & music,education & reference,0.271951467
In which game could an Australians Chinaman beat an Englishman? ,sports,sports,0.80857724
Can A private property owner give another indivdual abandoned property.? ,politics & government,education & reference,0.25702861
"can you explain this to me? ""We, the sovereign Filipino people,imploring the aid of Almighty God,in order to build a just and humane society, and establish a Government that shall embody our ideals and aspiration.""",politics & government,education & reference,0.369915098
"Where can I download a movie from? I need something free and safe from adware and spyware..? I would like to download some new and good movies,for free.Do you know any site? Thanks.",entertainment & music,computers & internet,0.448377997
Has any graduated nursing students ever taken the Kaplan review? ,education & reference,education & reference,0.500046313
I love you my dear____________? Fill in the blank with name of the person you Love most.,family & relationships,family & relationships,0.788398504
What is a quick remedy for getting rid of underarm shaving rash? ,health,health,0.408699006
what is the integral of ln x? ,education & reference,science & mathematics,0.540420294
whats the real cause of sinusitis and kidney infection? ,health,health,0.84590739
bank of americia pittsburgh pa area? ,business & finance,business & finance,0.734407187
chloloflourocarbon e.g freons are now banned.what is yhe reason for this ban? ,science & mathematics,society & culture,0.177248776
Why can't I see new yahoo home interface? I can't get internet explorer to call up the new yahoo home page interface at home. I see it at work.  I cleaned out IE files and cookies.,computers & internet,computers & internet,0.862156808
Fortune cookie with NO fortune in it...? What does this mean?\nIt happened to me two times at PF changs.,society & culture,education & reference,0.206355482
What is the name of a 2pac song that starts off with the sound of helicopter blades chopping? ,entertainment & music,entertainment & music,0.563116193
can we be happy without love and family? If we had not partner no family can we be happy??? If so let us know,family & relationships,family & relationships,0.957307041
"do these to plzzzzzzzz!? 5. [Glencoe99 11.P.55.]\nA 96 N sack of grain is hoisted to a storage room 46 m above the ground floor of a grain elevator. Unless otherwise directed, assume that air resistance is negligible. Draw energy bar graphs to solve the problem.\n(a) How much work was required?\n J\n(b) What is the increase in potential energy of the sack of grain at this height?\n J\n\n(c) The rope being used to lift the sack of grain breaks just as the sack reaches the storage room. What kinetic energy does the sack have just before it strikes the ground floor?\n J\n\n6. [Glencoe99 11.P.56.]\nA 17 kg rock is on the edge of a 115 m cliff. Unless otherwise directed, assume that air resistance is negligible. Draw energy bar graphs to solve the problem.\n(a) What potential energy does the rock possess relative to the base of the cliff?\n J\n(b) The rock falls from the cliff. What is its kinetic energy just before it strikes the ground?\n J\n\n(c) What speed does the rock have as it strikes the ground?\n m/s",science & mathematics,science & mathematics,0.283145249
what is justin doin at the end of NELLY FURTADOS video Promiscuous GIRL? ,entertainment & music,entertainment & music,0.335722804
"How Thick Are The Thickest Clouds ??? How thick are the thickest clouds?  Not in terms of visiblity, but as far as texture.  If you put your hand one of those big white, thick thunderstorm clouds would it feel like jello or something like that in terms of thickness?  I also wanted to know this ever since I was a kid.   Thanks! :)",science & mathematics,education & reference,0.519790828
Is Orrin Hatch an alien? Or just a ferret-lipped pinhead?,politics & government,politics & government,0.447284013
"Is India really the next superpower?will US fall?Will India Be as Strong militrali as US?Which will be nextsp? which will be the next superpower?india,china or other?will pakistan be as strong economicall and milatrali as india? will rupee fall or rise?",politics & government,business & finance,0.165722325
"Is the cost approach to value accurate, does the building cost for contruction stay still long enough? ",business & finance,business & finance,0.485360146
who makes wide softball/baseball cleats? ,sports,sports,0.968055069
"In engineering,what is chart datum? ",science & mathematics,science & mathematics,0.315024376
"i need a telephone number for 228 West 71st Street, new york? ",business & finance,education & reference,0.186204016
"normajeanorwhat?!?!?!? ALRIGHT PEOPLE DO YOU LIKE THE OLD SINGER OF NORMA JEAN, WHICH IS NOW SINGING WITH THE CHARIOT OR THE NEW SINGER OF NORMA JEAN?",entertainment & music,entertainment & music,0.522428393
How many managers did the phillies have in 1960? ,sports,politics & government,0.403857529
"Rupert Murdoch recently said about muslims ""they are much harder to intergrate into the community than other immigrants""...\n\nIn a poll on television that possed the question...""do you think that muslims can be loyal to both their country and their religion?""\n\nYes 12%\nNo 88%\n\nWhen you hear things said by prominant muslim leaders such as ""there is no such thing as muslim having a non-muslim friend, a non-muslim can be your associate but they can not be your friend""\n\nwhat do you think about this???",politics & government,family & relationships,0.395810187
How many secondary school teachers are there in Canada? ,education & reference,education & reference,0.739616394
what town in Britain would you most like to abolish and why? i asked earlier if liverpool should be abolished as i find the accent incrediblly annoying. i got a mixed response. so i want to know if there is anywhere else people would like to banish from the country\nor is it all good!?,society & culture,society & culture,0.198911861
Are you bored? ,society & culture,society & culture,0.195472673
"Are switchblades and butterfly knives illegal in California? If so, why? Also, What would be considered conceiling a weapon?",politics & government,society & culture,0.258975238
Why isn't Rudolph on right now? I know he's on every year.  I'm upset.,entertainment & music,entertainment & music,0.590555668
what are the fuctions of the small intestine? can you tell me evreything about the small intestine ? if you do i will chose you as the best answer.,science & mathematics,education & reference,0.486087948
Why is there not a mystery shopper program you can join for free? Why do you have to pay money to join a mystery shopper program? I mean you don't have to pay money to get a normal job in a warehouse or a hospital or even the police department?,business & finance,society & culture,0.272227228
"they suspend me from work, and they want money back in which i did not take! what do i do? they said that if i did not comply with them they will call the police and have them arrest me! can they do that? and they also addition with that was that they would not let me leave without signing papers stating that i did do it when i really did not. is that illegal?",politics & government,business & finance,0.280529767
How do we determine whether share buybacks are better than dividends for a company? ,business & finance,business & finance,0.514067769
"What's your favorite anime? I have so many, Sailor Moon is my fave of all time, but I love Inyuasha and Naruto.",entertainment & music,entertainment & music,0.485978842
Why do Mexican-Americans and Puerto Ricans hate each other? WHY?,society & culture,family & relationships,0.566054761
"I live in AZ, what is the address to mail the tax report for the IRS.? ",politics & government,business & finance,0.281147689
Any ideas on how to lessen the great divide between the rich and the poor? I am doing research on the wealth gap.,education & reference,society & culture,0.253346384
theres this guy i really like and i know he likes me do i ask him if we can start dating or what help!!!? ,family & relationships,family & relationships,0.412773579
"DVD +/-RW, 16x Multi-Format Double Layer(up to 8.5GB with Double Layer media)description? Is this a DVD Writer and a CD Writer",computers & internet,entertainment & music,0.557807565
why do catholics insist you become one before marrying? ,family & relationships,society & culture,0.533224702
What are some natural resources used in European Middle Ages? Give at least 4 natural resources used in the Middle Ages. Will give most Points with clear description or most resources listed!,education & reference,education & reference,0.306034505
what is kapil dev's highest ODI score? clue its between 174 and 178,sports,sports,0.790029466
"if your ex starts going out with your former best friend ,is it weird if you then start to develop feeling for your former best friends ex and is it a bad idea to act on these feelings even if you think there's some serious signals being broadcast? this is made all the more confusing by the fact that the two guys involved are best friends.",family & relationships,family & relationships,0.765987515
Who got a myspace?? ,society & culture,entertainment & music,0.317979544
what is the best web site to find out about web search engine research? ,computers & internet,computers & internet,0.559293985
What would you do if you could ? ,family & relationships,family & relationships,0.1393466
How do electrons move? ,science & mathematics,science & mathematics,0.574761331
"Ive had   crohns for 24yrs;no  meds for the  past 18yrs,had shingles  for  a  wk  now;could crohns? contributed to my  having  shingles?",health,health,0.964149237
Rank the frequencies of the following types of Electromagnetic Waves in decreasing order? Microwaves\nX-Rays\nVisible Light\nUltraviolet Light,science & mathematics,science & mathematics,0.235254973
how do i count words? ,computers & internet,education & reference,0.226629481
does anyone have a report on how computers have changed over time and where they're headed for in the future?? It needs to be 3 pages double spaced using size 12 of Times New Roman. It should compare and contrast the first computers with computers of today and computers of the future.,computers & internet,computers & internet,0.491143316
Why do a lot of white people hate it when blacks(or other ethnic groups) pull the race card? Even though whites don't experience racism like minorites do. I'm not sayin that minorities are always constantly being discriminated against and i'm not sayin most whites are racist. And i don't hate white people.,society & culture,education & reference,0.208025455
how can u get a's in science and dont even understand it? i get A's in science but i dont get any of it. and imma starting to fail. alot. how do u get better when u hate it?,business & finance,science & mathematics,0.428605855
Which do you know of ? There are two things that people need to understand LIght & Dark. If you truly know these thing tell me about them and give some examples.,society & culture,education & reference,0.258862585
"I need suggestion for a playground game to play with 20-40 1st-6th graders!? I work at an after school program for elementary school students. Now that spring is here, we are outside every afternoon for 3 hours. Previously we've been playing kickball and football, but the kids are starting to get bored. Does anyone have any suggestions for some new, interesting, fun games that we could play with around 20-40 kids in grades 1-6? I just can't think of anything!",sports,sports,0.27030018
"How do I get my XML file online? I made and validated my XML file using FeedForAll.  I don't understand how to get it online.  I have access to an FTP site.  Once I upload it to my FTP site, how does it get its own URL?  A dumbed-down, step-by-step set of instructions would be great.  Thanks.",computers & internet,computers & internet,0.706141174
is beer prohibited in islam? ,society & culture,society & culture,0.483621269
Fight to the death!!? Between the Fragil Rock posse and the Sasame street cru??? and list the reasons why!,sports,sports,0.573228598
what are the filipino schools in saudi arabia? ,education & reference,education & reference,0.444382668
"What all bike tricks can you people do? I can do a triple barspin, i can sit on my handle bars facing backwards and ride my bike all day, i can stand on my two side pegs and go no handed, same as all my other pegs, im just a small town kid lookin for people nearbye that know how to ride i live in suring wi 54174 near green bay for all you flatlanders ha ha,",sports,sports,0.295315772
while visiting Italy what are some do's and don'ts? customs,society & culture,society & culture,0.702899456
Can you enclose links between <pre> and </pre> tags? ,computers & internet,education & reference,0.194049567
What does Imoa stand for? Lamoa? ,education & reference,society & culture,0.256719053
tell me diff organs that can be donated after death & their lifespan after death...? ,health,education & reference,0.533305943
"Why on occassion is Yahoo so very slow? On some days, Yahoo can be very slow to open up say Yahoo Mail or Yahoo Messenger.  Why is this?  Is it the weather?  Could it be DSL?  Or could it be the hard drive in the computer not fast enought.",computers & internet,computers & internet,0.804391742
what are the implications of using first language in an esl class? I'm doing a research on this topic for my didactics class i want you to suggest some bibliography,education & reference,education & reference,0.755740702
what does a music producer do? ,entertainment & music,entertainment & music,0.822438896
"How much percent of people can get more than 175,000 dollars every year in the US? ",business & finance,society & culture,0.162952676
why is real maldrid not not top of it league even though they have all the world best player? you can agree with me also that even thought most of the world best player are all in real maldrid are are not doing well as bacelona.is it too much good player or what.,sports,sports,0.482389808
"how do you get out of a 16 year marriage that is going nowhere? or do you stay? and live with arguing 24/7? married 16 years to a scorpio that has been divorced twice, likes nothing more than to be mad 24/7. Truely tries to have everyone around him hate him.\nI don't even think he likes himself. but,,,,, he loves his kids no matter what.  good provider,responsible, no communication, no nothing, we even sleep apart.",family & relationships,family & relationships,0.777963102
what does the bible mean to you? Its the paraphases that help through hard times as well as good. Its the tool we use to help believers as well as unbelievers. Its awesome and amazing at the same time.,society & culture,education & reference,0.503769517
pensez vous que l'O.L passera les quarts de final en ligue des champions?? n'ayant fait mieu jusqu'a maintenant cette année sera t'elle plus ambitieuse pour l'O.L?,sports,sports,0.730599225
do you think the pistons will make the NBA finals? ,sports,sports,0.918981969
"What does it mean when your underwear has a bad scent, like cat pee? Don't mean to gross anyone out, but its been happening to me and I don't know what it means! I notice it when I go to the bathroom! It reeks of a scent similar to cat pee.",health,education & reference,0.450544477
how can i makeup a mens slow pitch softball tournament bracket? softball asa rules,sports,sports,0.871390224
Which techonologies/resources will be prevelent in the next 20 years to lower our need for oil? ,science & mathematics,health,0.16215013
Constitution and immigration? How do the principles of the constitution affect possible immigration laws? I don't unstand,politics & government,education & reference,0.383215427
"what if hell is good for us and heaven is bad? who wants to live in a land whether you got to be a goodie-goodie two shoes everyday, anyway?  I can imagine seeing god saying welcome to heaven, these are the rules... come on when your giving rules, then they are defently made to be broken.... i would so rebel.",society & culture,society & culture,0.283419341
How to start/form an LLC? What do I need? I am planning on opening business with a partner.,business & finance,education & reference,0.600566804
Who is ION ILIESCU? ,politics & government,education & reference,0.197325438
who's watching big brother tonight? who wants to see grace get publicly slandered for being the biggest two faced f*cking bi@tch that ever graced this planet (ha ha see what i did there)?,entertainment & music,family & relationships,0.322519958
"Invite a friend of your friend that you hardly know? If you want to invite someone over to your party, but that person have a very good friend (but you hardly know him/her), must you invite him/her also?",business & finance,family & relationships,0.632725775
"Is it fair to blame the entire Political Party, for misconduct of one of its senior members? ",politics & government,politics & government,0.720590889
which country music star is cutest/best-looking? We're talking male stars/band members. You can put more than one/your top ten/whichever you prefer,entertainment & music,entertainment & music,0.972565889
what is weathering? ,science & mathematics,society & culture,0.197925463
Who is the most popular candidate for the job of England's manager to succeed Ericson.? ,sports,sports,0.20867902
What are the type of Business letters? ,education & reference,business & finance,0.405239075
what means processor stepping in AMD (e3 or e6)? ,computers & internet,health,0.27410385
what is the rap abulm of all time? ,entertainment & music,entertainment & music,0.609471083
"How soon is too soon? I've been together with my boyfriend for three months and was wondering, if in your opinion, it was too soon to say ""I love you"". I'm sure of my feelings but don't want to get the ""thank-you"" or just a blank stare. Should I wait until he says it to me or should I take the risk?",family & relationships,family & relationships,0.53439635
Who was the first American President to declare war? ,politics & government,politics & government,0.683419228
what do the letters a.m. and p.m. stand for? ,education & reference,education & reference,0.153540745
Do you know the lyricsto this song? Free bird,entertainment & music,entertainment & music,0.519575
which is best retirement plan in india? ,business & finance,business & finance,0.227230072
will jason williams( MIAMI) play on friday against the Knicks? ,sports,sports,0.585729599
what is the worlds largest country? ,education & reference,society & culture,0.213841081
Will the USA ever create a great soccer player like a Maradona or a Pele? And would that make them win a WC? ,sports,sports,0.97513473
how do we noe if my guy cheat on me?? ,family & relationships,family & relationships,0.707358539
what would cause a lump on an eardrum? my brother-in-law wrote me from jail that the doctor there says he has a lump on his eardrum that needs to be removed surgically.  I cannot find any information on the web. . . user malfunction I am sure.  I have never heard of this condition and am at a loss as to how to explain it to him.  He looks to me for answers and I have none,health,health,0.419744164
"Help please.? I know how to do the part a, but don't know how to do part b.\nHere is the question: thank you\nA 15 m long wire having a resistance of 2.0 ohms/m is moved away from you at 10 m/s.  While it is moving it cuts across a magnetic field having a strength of 0.50 N/A.m.  The field is directed downward into the page.\na)  the magnitude of the induced emf(voltage)\nanswer: 75v\nb)  the current in the wire.",science & mathematics,science & mathematics,0.283965617
what is 64 bit processor? ,computers & internet,computers & internet,0.318328977
Has anyone had an experience with a spirit talking to them or appearing ? years ago I heard a voice calling my fathers name. Just wondering if anyone had similar experiences.,business & finance,family & relationships,0.512413561
"125 g metal blocat temperature 93.2 C was imersed in 100G of water at 18.3C? if the specific heat of metal= 0.900 J/gC, find the final temperature of the water and the block!",science & mathematics,science & mathematics,0.560030699
do you belive in vampires? my friend does,business & finance,education & reference,0.331681877
"new generation? its true new, they are new in every thing - in disrespect, unbehave, wrong in every thing almost, and the list is very long, we keep hear that this is the most wrong generation ever comes or will come in the future, i dont think its true, what do you think?",society & culture,family & relationships,0.194274992
"i have win nt 4 server , and running properly. some clients using win xp.? but one user not able to connect th i purchased new laptop and try to login to domain , but it shows error like"" user name and password is incorrect.""",computers & internet,computers & internet,0.774426937
"Where can I download ""fruits basket"" songs in japanese? ",entertainment & music,entertainment & music,0.663618445
"{ HYPERLINK } is shown in MS Word for the hyperlinks? Whenever I type a hyper link in word, it is changed to a display format preceded by the keyword: ""HYPERLINK"" and no link is actually created.\nEg.If I type the following and press Enter key:\nhttp://www.yahoo.com\nThe displayed text is changed to:\n{ HYPERLINK ""http://www.yahoo.com"" }\nHowever, this is not an actual link, i.e. I cannot click on this text to go to the yahoo site.\nSettings for Word on my PC are :\nTools > Auto Correct Options > AutoFormat as you Type :\n""Internet and network paths with hyperlinks"" checkbox  is checked.\n\nWhat I want is the default behaviour i.e. when I click enter, auto format should create a link (blue font , underlined) without the preceding HYPERLINK keyword and clicking on it should open the site.\n\nNote: This HYPERLINK keyword is shown only on screen, not on the printed page or print preview.",computers & internet,computers & internet,0.382200688
How do I sell an idea for for shelf stable ice to Aquafina or Dasani? ,business & finance,education & reference,0.258722246
George Bush is appearing on Limbaugh's show today? Should he also speak to some progressive stations in order to reach the majority of Americans who don't think he's doing a bang up job?,politics & government,politics & government,0.406158179
"How to get rid of water retention- from eating too much salt? Yesterday- Thanksgiving, I ate WAY too much salty food.  Today I feel very bloated and puffy... my rings won't come off my fingers, my pants feel very tight, and my eyes feel like they are going to swell shut- I have been chugging water all day long but with little relief... what else can I do?",health,health,0.594396055
are you a step-mother raising your husbands' children full time? how do they treat you?,family & relationships,family & relationships,0.804919481
why do people judge you before they know all the facts? i only got out some of the problem. i read a mean message from a person answering my question. i know online dating is wierd but we was going to meet but i got hurt got sent into the hospital thats when he cheated on me so i canceld the trip.  so im not on a CRAZY TRAIN ....so why are there mean people in here send a answer that hurts why?,family & relationships,health,0.407088131
Why does Wilson show up at Tom’s house after Myrtle is dead? ,education & reference,family & relationships,0.673333049
Need help with thermodynamics? could someone pls explain the 2nd law of thermo like the tricks to it especially where it has to do with entropy and the carnot cycle. i know u need a diagram and all i ve revised it a bit so if u use words i wld understand. thnx in advance,science & mathematics,education & reference,0.409575582
how did ww1 end? ,politics & government,computers & internet,0.292944103
Are we only deceiving ourselves in thinking that there is life after death? ,society & culture,society & culture,0.447812676
"I am going on my second date with a really nice guy but I don't want anything serious, should I tell him? ",family & relationships,family & relationships,0.293051273
Why there are people who continue using Internet Explorer if FireFox is better? ,computers & internet,computers & internet,0.801188886
"what does this quote mean to you? ""people like in themselves what they hate in others""",education & reference,education & reference,0.362655967
"Who would be willing to actually meet, face to face, an online friend? i am just curious",business & finance,computers & internet,0.343824387
"Physics Help? You weighing 50 Kg were standing sheet of ice (ignoring friction) and you threw a 1 Kg baseball at a velocity of 25 m/s what would your recoil velocity be?\n\nImagine 3 astronauts were outside the space shuttle enjoying a zero gravity enviroment.  If two of them played a game of catch using the third astronaut as the ball, what would happen as this game continued?",science & mathematics,science & mathematics,0.45157823
Can anyone expand PDA and tell about it? ,computers & internet,education & reference,0.260478228
"what can be done if someone has stolen personal info about me and my family i dont no who to report my sus's they have my mothers maiden name, dates of birth of whole family and husbands family information am very nervous as now they are un contactable",computers & internet,family & relationships,0.837816775
Why the he** is everyone hating on the black guy Shanee(sp?) Davis. First eva black speed skater to win (more) a gold at the events he does.,sports,sports,0.760707676
looking for acrylic glass? ,business & finance,education & reference,0.241392106
"There is physiologic distribution of radiotracer in the soft tissue and bilateral kidneys.? Hi, I am a 24 year old male. I got a bone scan done in June 2006 and the results said: \n\nThere is physiologic distribution of radiotracer in the soft tissue and bilateral kidneys.\n\nWhat does this all mean? Can you please help me out? Can you please explain everything because I have no idea what any of this means. I looked everywhere for answers and got no luck. How serious is this? What can I do for it? I would very greatly appreciate this. Thank you.",health,health,0.380840033
From today's point of view who was right and who was wrong in Bohr-Einstein dialog? ,science & mathematics,education & reference,0.335189641
Have you had Lasik surgery? ,health,health,0.71343869
"How do you feel about being referred to as...""My old lady""  or ""my old man""? When these ""titles"" are used to refer to a girlfriend,boyfriend, or spouse...\n\nI personally do not care for it, but I hear it quite a bit.",family & relationships,family & relationships,0.865101516
!!!WHAT PRESIDENT CAME BEFORE AND AFTER president CALVIN COOLIDGE!!!?? HOW WOULD YOU RATE YOUR PRESIDENT IN TERMS OF GREATNESS OR NON GREATNES?????!!!!!???,politics & government,education & reference,0.235402256
darrell jackson(sea) or donald driver(gb)? which one should i start.they play each other monday nite,sports,entertainment & music,0.430413574
when is Mardis Gras? ,society & culture,entertainment & music,0.390056342
"Where Did The Trinity Come From ? The three monotheistic religions - Judaism, Christianity, and Islam - all \npurport to share one fundamental concept: belief in God as the Supreme \nBeing, the Creator and Sustainer of the Universe. Known as ""tawhid"" in \nIslam, this concept of the Oneness of God was stressed by Moses in a \nBiblical passage known as the ""Shema,"" or the Jewish creed of faith: \n""Hear, O Israel: The Lord our God is one Lord."" (Deuteronomy 6:4) \n\nIt was repeated word-for-word approximately 1500 years later by Jesus \nwhen he said: ""...The first of all the commandments is, Hear, O Israel; the \nLord our God is one Lord."" (Mark 12:29) \n\n«""Muhammad came along approximately 600 years later, bringing the same message again: ""And your God is One God: There is no God but He, ...""» (The Qur'an 2:163) \nChristianity has digressed from the concept of the Oneness of God, \nhttp://www.beconvinced.com/en/article.php?articleid=0115&catid=&subcatname=",society & culture,education & reference,0.244609252
"which ""team"" do you think will win in this 2006 world cup in germany? what is your favourite team?",sports,sports,0.925676942
"what should i do? about this boy? i already went out with him and we went out for 3 months and we were so perfect and then a few days after being together for 3 months he broke up with me, and says he still likes me but he got a new girlfriend and do not mention getting over him cause i cant ive tried and it doenst worrk, ive gone out with 2 other people and it just didnt feel right i still want him, and im not sure what to do about him? i want him to be happy i just wish we could be happy together again..XO\n\n\n\n-A brokenhearted gurl",family & relationships,family & relationships,0.479824364
"If a blood test reviels I'm not the father of a child, can I be freed of all obligations to that child? ",politics & government,family & relationships,0.747708857
Why circumcision? God gave that extra foreskin there for a reason? why remove it?,health,education & reference,0.332348198
apple intolerance? why does eating apples make me want to throw up?\ndo I have some kind of enzyme deficiency?,health,health,0.762865841
miley cyrus is my favorite actress .....your opinion...........? ,entertainment & music,entertainment & music,0.648807526
who is the girl in mallika i hate u? and whats her full name? i would like to know her full name and if ne one has her pics pls email it to me,entertainment & music,family & relationships,0.238860756
